,pres,hght,temp,dwpt,relh,mixr,drct,sknt,thta,thte,thtv
0,979.0,288.0,23.6,23.3,98.0,18.717438571994894,0.0,0.0,298.6,353.5,301.9
1,977.0,306.0,22.0,22.0,100.0,17.293164829103443,40.0,5.0,297.1,347.5,300.2
2,975.0,324.0,21.9,21.7,99.0,17.00622045346308,80.0,10.0,297.2,346.9,300.2
3,972.0,351.0,21.7,21.4,98.0,16.741189401696293,80.0,13.0,297.3,346.0,300.2
4,965.0,414.0,21.3,20.5,95.0,15.934128483003699,75.0,13.0,297.5,343.9,300.3
5,963.0,432.0,21.2,20.2,94.0,15.667339205700769,69.0,13.0,297.5,343.3,300.3
6,961.0,450.0,21.0,5.0,35.0,5.6966015243266614,63.0,13.0,297.5,314.6,298.5
7,960.0,459.0,21.0,-28.0,2.0,0.3989305060034147,60.0,13.0,297.6,299.0,297.7
8,955.0,504.0,20.9,-28.1,2.0,0.39731816329073044,45.0,12.0,297.9,299.3,298.0
9,952.0,531.0,20.8,-28.2,2.0,0.3948879141354321,46.0,14.0,298.1,299.5,298.2
10,951.0,540.0,20.8,-28.2,2.0,0.395303412431577,47.0,14.0,298.2,299.6,298.3
11,950.0,549.0,20.8,13.8,64.0,10.497948827080975,47.0,15.0,298.3,329.2,300.2
12,944.0,604.0,20.4,19.6,95.0,15.392252998890527,50.0,18.0,298.4,343.5,301.2
13,927.0,761.0,19.7,19.1,97.0,15.18913337388997,55.0,7.0,299.2,344.1,302.0
14,925.0,780.0,19.6,19.1,97.0,15.222778500409563,60.0,8.0,299.3,344.1,302.1
15,921.0,817.0,19.5,18.9,97.0,15.096145436121319,70.0,10.0,299.6,344.2,302.3
16,914.0,883.0,19.2,18.7,97.0,15.020911878456545,50.0,12.0,300.0,344.3,302.7
17,900.0,1016.0,18.8,18.2,96.0,14.778089248286413,80.0,10.0,300.8,344.5,303.5
18,892.0,1093.0,18.5,17.9,96.0,14.628480474854939,85.0,8.0,301.3,344.6,304.0
19,879.0,1219.0,18.0,17.4,96.0,14.378207918040843,40.0,10.0,302.1,344.8,304.7
20,873.0,1278.0,17.8,17.1,96.0,14.200815211467134,55.0,12.0,302.5,344.9,305.1
21,867.0,1338.0,17.6,16.9,95.0,14.117051298385968,45.0,12.0,302.9,345.0,305.4
22,860.0,1407.0,17.4,16.6,95.0,13.959843430689174,80.0,13.0,303.3,345.1,305.9
23,850.0,1508.0,17.0,16.2,95.0,13.764526010426248,50.0,14.0,303.9,345.3,306.5
24,848.0,1528.0,16.9,16.1,95.0,13.707998157717991,45.0,13.0,304.1,345.3,306.6
25,831.0,1699.0,16.2,15.4,95.0,13.36826335186182,70.0,12.0,305.0,345.3,307.5
26,820.0,1812.0,15.7,14.9,95.0,13.113610596068597,50.0,15.0,305.7,345.4,308.1
27,809.0,1926.0,15.2,14.4,95.0,12.864632780994322,75.0,13.0,306.3,345.4,308.7
28,800.0,2020.0,14.8,14.1,96.0,12.756869698841243,70.0,16.0,306.9,345.5,309.2
29,769.0,2354.0,13.3,12.6,96.0,12.020335390866807,80.0,19.0,308.8,345.7,311.0
30,763.0,2421.0,13.0,12.4,96.0,11.955602937744866,70.0,15.0,309.1,345.8,311.4
31,753.0,2532.0,12.5,11.9,96.0,11.717705105782017,90.0,12.0,309.8,345.9,312.0
32,708.0,3053.0,10.2,9.7,97.0,10.749025476062199,110.0,8.0,312.8,346.3,314.8
33,700.0,3149.0,9.8,9.3,97.0,10.58062945385351,110.0,5.0,313.3,346.4,315.3
34,682.0,3364.0,8.8,8.4,97.0,10.213240430673139,350.0,2.0,314.6,346.7,316.5
35,640.0,3889.0,6.5,6.1,97.0,9.284830825368722,305.0,9.0,317.7,347.3,319.5
36,621.0,4138.0,5.4,5.0,97.0,8.859940443102087,307.0,11.0,319.2,347.7,320.9
37,600.0,4414.0,3.9,3.4,97.0,8.188018246830616,310.0,13.0,320.5,347.0,322.1
38,570.0,4827.0,1.6,0.9,96.0,7.2004034671731185,325.0,9.0,322.6,346.3,324.0
39,526.0,5473.0,-2.0,-2.9,94.0,5.896435587500255,295.0,6.0,325.8,345.5,326.9
40,500.0,5880.0,-4.3,-5.3,93.0,5.174326986801993,220.0,11.0,327.7,345.3,328.8
41,449.0,6720.0,-8.9,-13.5,69.0,3.0157720738075824,240.0,15.0,332.2,342.9,332.8
42,432.0,7021.0,-10.5,-16.5,61.0,2.445646473250383,228.0,18.0,333.8,342.6,334.3
43,427.0,7110.0,-11.1,-16.6,64.0,2.4537326356046454,225.0,19.0,334.2,343.1,334.7
44,413.0,7365.0,-12.8,-16.7,73.0,2.5160383633291397,240.0,16.0,335.1,344.2,335.6
45,400.0,7610.0,-14.5,-16.9,82.0,2.5548323886032036,235.0,15.0,336.1,345.3,336.6
46,386.0,7879.0,-15.8,-18.9,77.0,2.2345041994763113,205.0,13.0,337.8,345.9,338.2
47,375.0,8098.0,-16.9,-20.6,73.0,1.9866080138057192,211.0,13.0,339.1,346.5,339.5
48,343.0,8763.0,-21.5,-24.5,77.0,1.5390327714534222,231.0,12.0,341.6,347.5,342.0
49,327.0,9115.0,-23.5,-30.5,53.0,0.9272912454416155,242.0,12.0,343.6,347.2,343.8
50,322.0,9227.0,-24.4,-31.5,51.0,0.8560064104856976,245.0,12.0,343.9,347.3,344.1
51,302.0,9692.0,-27.9,-35.9,47.0,0.5933744444709359,215.0,11.0,345.2,347.7,345.4
52,300.0,9740.0,-28.3,-36.3,46.0,0.5738843931443911,215.0,11.0,345.4,347.7,345.5
53,284.0,10131.0,-31.1,-39.1,45.0,0.4560424032250471,229.0,11.0,346.8,348.7,346.9
54,282.0,10181.0,-32.3,-40.3,45.0,0.4055564623188359,230.0,11.0,345.8,347.5,345.9
55,250.0,11020.0,-38.7,-52.7,21.0,0.11548305833320838,260.0,11.0,348.4,348.9,348.4
