,pres,hght,temp,dwpt,relh,mixr,drct,sknt,thta,thte,thtv
0,978.0,288.0,22.2,21.7,97.0,16.952632338117457,0.0,0.0,297.2,346.7,300.3
1,972.0,341.0,21.8,20.4,92.0,15.716619982969565,356.0,1.0,297.4,343.2,300.2
2,960.0,449.0,24.0,18.0,69.0,13.657255376239554,347.0,3.0,300.6,341.1,303.1
3,958.0,467.0,24.2,-15.8,6.0,1.166615580448026,345.0,3.0,301.0,304.9,301.2
4,949.0,549.0,24.0,-25.0,3.0,0.5309430349065283,338.0,4.0,301.6,303.5,301.7
5,941.0,622.0,24.2,-24.8,3.0,0.5451992300693858,332.0,6.0,302.6,304.5,302.7
6,940.0,631.0,24.0,4.0,27.0,5.428044436029721,332.0,6.0,302.4,319.2,303.4
7,933.0,696.0,24.2,14.2,54.0,10.978651355510078,326.0,7.0,303.3,336.3,305.3
8,925.0,771.0,23.6,15.6,61.0,12.14132378473214,320.0,8.0,303.4,339.9,305.7
9,850.0,1506.0,19.4,12.4,64.0,10.710839852659493,15.0,8.0,306.4,339.1,308.4
10,778.0,2256.0,14.9,8.4,65.0,8.934891676962655,35.0,13.0,309.5,337.2,311.2
11,725.0,2854.0,11.4,5.2,66.0,7.681024643706657,15.0,7.0,311.9,336.1,313.4
12,700.0,3151.0,9.6,3.6,66.0,7.105771597494924,95.0,9.0,313.1,335.6,314.4
13,642.0,3858.0,5.2,1.5,77.0,6.668894741603984,210.0,1.0,315.9,337.4,317.2
14,608.0,4304.0,2.5,0.2,85.0,6.409444086136259,120.0,8.0,317.7,338.4,318.9
15,591.0,4536.0,1.0,-0.5,90.0,6.265401679252893,125.0,11.0,318.6,339.0,319.8
16,576.0,4746.0,-0.3,-1.1,94.0,6.151786845896677,127.0,11.0,319.4,339.5,320.6
17,540.0,5262.0,-2.7,-3.2,96.0,5.614231658759515,133.0,10.0,322.5,341.1,323.6
18,500.0,5870.0,-6.3,-6.8,96.0,4.610522604036204,140.0,9.0,325.3,340.9,326.2
19,476.0,6252.0,-7.7,-10.3,82.0,3.6811560479064522,105.0,9.0,328.1,340.9,328.9
20,467.0,6400.0,-8.3,-11.6,77.0,3.381793342834939,98.0,9.0,329.2,341.0,329.9
21,449.0,6703.0,-10.5,-13.1,81.0,3.1158239755095645,85.0,10.0,330.2,341.1,330.8
22,436.0,6928.0,-11.6,-18.3,58.0,2.081333620090709,75.0,10.0,331.5,339.1,332.0
23,435.0,6945.0,-11.7,-18.7,56.0,2.0161795815404315,75.0,10.0,331.6,338.9,332.1
24,433.0,6981.0,-11.9,-23.9,36.0,1.2858506371778404,76.0,10.0,331.8,336.6,332.1
25,426.0,7105.0,-12.7,-18.7,61.0,2.0589159219675,77.0,10.0,332.4,339.8,332.8
26,408.0,7431.0,-15.2,-19.3,71.0,2.042354736518091,80.0,10.0,333.3,340.7,333.7
27,400.0,7580.0,-16.3,-19.6,76.0,2.030278248993602,95.0,10.0,333.7,341.1,334.1
28,399.0,7599.0,-16.5,-19.6,77.0,2.0353833165876276,96.0,10.0,333.7,341.1,334.1
29,340.0,8787.0,-24.1,-29.0,64.0,1.02731412010818,179.0,7.0,339.0,342.9,339.2
30,330.0,9004.0,-25.6,-28.8,74.0,1.0784970159042748,195.0,6.0,339.8,344.0,340.1
31,324.0,9137.0,-26.5,-28.7,82.0,1.1088195218625372,201.0,4.0,340.4,344.6,340.6
32,316.0,9317.0,-27.8,-30.4,79.0,0.9687741043691794,210.0,2.0,341.0,344.8,341.2
33,300.0,9690.0,-30.5,-33.8,73.0,0.7352797880468552,185.0,6.0,342.3,345.2,342.4
34,297.0,9762.0,-31.1,-34.7,71.0,0.6797820478098534,184.0,7.0,342.4,345.1,342.6
