,pres,hght,temp,dwpt,relh,mixr,drct,sknt,thta,thte,thtv
0,979.0,288.0,24.4,23.5,95.0,18.95184830946966,0.0,0.0,299.4,355.2,302.8
1,962.0,441.0,22.6,21.1,91.0,16.602968195860242,254.0,8.0,299.0,347.8,302.0
2,960.0,459.0,22.4,6.4,35.0,6.289330068504553,241.0,10.0,299.0,318.0,300.2
3,959.0,468.0,22.4,-21.6,4.0,0.7106515298660485,235.0,10.0,299.1,301.5,299.2
4,950.0,550.0,22.6,-26.4,3.0,0.46708628706515815,238.0,9.0,300.1,301.8,300.2
5,945.0,595.0,22.4,-26.6,3.0,0.46105015945400024,239.0,9.0,300.4,302.0,300.4
6,943.0,614.0,22.2,10.2,46.0,8.313046282734579,240.0,9.0,300.3,325.3,301.9
7,942.0,623.0,22.2,17.2,73.0,13.223903833086807,240.0,9.0,300.4,339.6,302.8
8,925.0,781.0,21.4,19.7,90.0,15.81685405014736,245.0,8.0,301.2,348.1,304.1
9,922.0,809.0,21.2,19.9,92.0,16.07296538341771,251.0,8.0,301.3,348.9,304.2
10,861.0,1401.0,18.8,14.7,77.0,12.313573624561439,8.0,5.0,304.7,341.9,307.0
11,850.0,1512.0,18.0,14.1,78.0,11.991998003301603,30.0,5.0,305.0,341.2,307.2
12,785.0,2185.0,13.6,10.6,82.0,10.288589831884632,35.0,9.0,307.2,338.8,309.1
13,748.0,2593.0,10.9,8.5,85.0,9.362792827468867,40.0,16.0,308.6,337.5,310.3
14,726.0,2845.0,9.2,7.2,87.0,8.821590553316623,36.0,14.0,309.4,336.7,311.1
15,701.0,3136.0,8.4,4.2,75.0,7.4048357531681654,30.0,12.0,311.6,334.9,313.0
16,700.0,3148.0,8.4,4.6,77.0,7.628734307716086,30.0,12.0,311.8,335.7,313.2
17,693.0,3230.0,8.0,4.3,78.0,7.544683646344921,40.0,10.0,312.2,335.9,313.6
18,639.0,3890.0,4.4,1.9,84.0,6.897277865904229,80.0,7.0,315.5,337.5,316.8
19,571.0,4806.0,-0.5,-1.5,93.0,6.025015476310419,71.0,7.0,320.0,339.7,321.2
20,557.0,5005.0,-0.1,-3.8,76.0,5.200894084025412,69.0,7.0,322.7,340.1,323.8
21,500.0,5860.0,-5.9,-8.6,81.0,4.007171722623145,60.0,7.0,325.8,339.4,326.6
22,470.0,6341.0,-8.8,-12.1,77.0,3.227362508392009,60.0,6.0,328.0,339.2,328.6
23,448.0,6715.0,-11.1,-14.8,74.0,2.7162959042310084,88.0,12.0,329.6,339.2,330.2
24,443.0,6801.0,-10.8,-15.4,69.0,2.6138943753060655,95.0,13.0,331.0,340.4,331.6
25,441.0,6836.0,-10.7,-15.6,67.0,2.5825108529157172,99.0,12.0,331.6,340.8,332.1
26,430.0,7030.0,-12.1,-18.1,61.0,2.14668214484703,120.0,7.0,332.2,340.0,332.7
27,422.0,7173.0,-13.3,-18.7,64.0,2.0784969273450655,135.0,4.0,332.5,340.0,332.9
28,417.0,7264.0,-14.0,-19.1,66.0,2.0327169594950973,155.0,5.0,332.7,340.1,333.1
29,406.0,7468.0,-15.7,-19.9,70.0,1.949106978613123,152.0,7.0,333.1,340.2,333.5
30,400.0,7580.0,-16.5,-22.5,60.0,1.5766135727741433,150.0,8.0,333.5,339.3,333.8
31,370.0,8161.0,-20.3,-27.3,54.0,1.105437379431657,178.0,9.0,335.9,340.1,336.1
32,353.0,8508.0,-22.1,-38.1,22.0,0.4064642092606123,194.0,9.0,338.0,339.7,338.1
33,339.0,8803.0,-24.7,-34.7,39.0,0.5954806331476524,209.0,10.0,338.4,340.8,338.6
34,333.0,8931.0,-25.6,-37.1,33.0,0.47695645383038565,215.0,10.0,338.9,340.9,339.1
35,322.0,9173.0,-27.2,-41.5,25.0,0.31314878646541194,195.0,14.0,339.9,341.2,340.0
36,307.0,9515.0,-29.6,-47.8,15.0,0.1654129786567886,210.0,17.0,341.3,342.0,341.3
37,304.0,9586.0,-30.1,-49.1,14.0,0.14420068834020228,206.0,17.0,341.5,342.2,341.6
38,300.0,9680.0,-30.9,-45.9,22.0,0.20913581906067472,200.0,16.0,341.7,342.6,341.8
39,297.0,9752.0,-31.1,-45.1,24.0,0.23064258796590636,197.0,16.0,342.4,343.4,342.5
40,295.0,9799.0,-31.5,-45.1,25.0,0.232206850285419,195.0,16.0,342.5,343.5,342.5
41,268.0,10472.0,-37.5,-44.7,47.0,0.2670158809738011,210.0,16.0,343.3,344.4,343.4
42,267.0,10499.0,-37.7,-44.7,48.0,0.26801637137322076,210.0,16.0,343.4,344.5,343.4
