,pres,hght,temp,dwpt,relh,mixr,drct,sknt,thta,thte,thtv
0,977.0,288.0,25.8,21.5,77.0,16.758362833842977,110.0,3.0,300.9,350.6,304.0
1,975.0,306.0,26.4,16.4,54.0,12.122420663078524,114.0,3.0,301.7,337.9,303.9
2,965.0,397.0,28.6,15.6,45.0,11.628647605942964,133.0,3.0,304.8,340.0,307.0
3,960.0,444.0,28.4,16.4,48.0,12.315583854915229,142.0,3.0,305.1,342.4,307.4
4,958.0,462.0,28.2,16.2,48.0,12.182391870016314,146.0,3.0,305.1,341.9,307.3
5,957.0,471.0,28.0,-21.0,3.0,0.7504112704735879,148.0,3.0,305.0,307.6,305.1
6,940.0,629.0,26.8,-22.2,3.0,0.6878601702982389,181.0,3.0,305.3,307.7,305.4
7,938.0,648.0,26.6,11.6,39.0,9.185261514244166,184.0,3.0,305.3,333.3,307.0
8,932.0,704.0,26.0,18.0,61.0,14.07684501080186,196.0,3.0,305.2,347.8,307.8
9,925.0,771.0,25.6,17.6,61.0,13.824844702603903,210.0,3.0,305.5,347.3,308.0
10,850.0,1509.0,20.6,13.6,64.0,11.60157044208432,50.0,14.0,307.7,343.2,309.9
11,844.0,1569.0,20.2,13.2,64.0,11.379299404411315,45.0,13.0,307.9,342.8,310.0
12,799.0,2035.0,17.0,10.3,65.0,9.901946552328646,60.0,19.0,309.4,340.1,311.2
13,727.0,2837.0,11.6,5.4,66.0,7.768197568220857,55.0,20.0,311.9,336.3,313.4
14,700.0,3158.0,9.4,3.4,66.0,7.005127694943566,50.0,17.0,312.9,335.1,314.2
15,699.0,3170.0,9.3,3.4,67.0,7.015262366511459,45.0,17.0,312.9,335.1,314.2
16,687.0,3314.0,8.2,3.3,71.0,7.088400969819985,50.0,17.0,313.2,335.7,314.6
17,676.0,3447.0,8.0,1.0,61.0,6.104569437831671,55.0,17.0,314.4,334.0,315.6
18,652.0,3742.0,6.2,0.6,67.0,6.149810069152614,65.0,16.0,315.7,335.5,316.9
19,633.0,3984.0,4.8,0.3,73.0,6.198974133083781,55.0,12.0,316.7,336.7,317.9
20,620.0,4154.0,3.8,0.0,77.0,6.192764804003337,70.0,12.0,317.4,337.5,318.6
21,595.0,4490.0,1.7,-0.4,86.0,6.268808503619379,55.0,13.0,318.8,339.2,320.1
22,591.0,4545.0,1.4,-0.5,87.0,6.265401679252893,61.0,12.0,319.1,339.5,320.3
23,556.0,5035.0,-0.4,-10.1,48.0,3.19924886286501,115.0,6.0,322.6,333.5,323.2
24,552.0,5093.0,-0.6,-11.2,44.0,2.9518964885963834,120.0,7.0,323.0,333.1,323.6
25,542.0,5240.0,-1.1,-14.1,37.0,2.376575633812319,108.0,7.0,324.1,332.4,324.6
26,511.0,5708.0,-3.7,-11.1,57.0,3.2156130957173468,70.0,9.0,326.4,337.5,327.0
27,509.0,5739.0,-3.9,-10.9,58.0,3.280390127208673,73.0,10.0,326.6,337.9,327.2
28,507.0,5770.0,-3.7,-10.7,58.0,3.3464389649825863,75.0,10.0,327.2,338.7,327.8
29,502.0,5848.0,-2.9,-26.9,14.0,0.8449125054528333,82.0,11.0,329.1,332.2,329.2
30,500.0,5880.0,-3.1,-36.1,6.0,0.3511695993836915,85.0,12.0,329.2,330.6,329.3
31,474.0,6298.0,-6.0,-49.4,2.0,0.08936504946716432,100.0,13.0,330.6,331.0,330.7
32,463.0,6482.0,-7.3,-55.3,1.0,0.045659311859627356,84.0,12.0,331.3,331.5,331.3
33,460.0,6532.0,-7.8,-45.9,3.0,0.13637697618839406,80.0,12.0,331.2,331.8,331.2
34,454.0,6634.0,-8.9,-26.9,22.0,0.9343766546226773,86.0,12.0,331.1,334.6,331.3
35,446.0,6771.0,-9.7,-46.9,3.0,0.12590884685676756,95.0,12.0,331.8,332.3,331.8
36,442.0,6840.0,-10.1,-57.1,1.0,0.03835334545708605,91.0,13.0,332.2,332.3,332.2
37,424.0,7156.0,-12.1,-53.7,2.0,0.06045810684439962,75.0,17.0,333.6,333.8,333.6
38,400.0,7600.0,-14.9,-48.9,4.0,0.11210822366173948,80.0,24.0,335.5,336.0,335.6
39,388.0,7827.0,-16.4,-52.4,3.0,0.07708578339732496,80.0,27.0,336.5,336.9,336.6
40,372.0,8141.0,-18.4,-57.2,2.0,0.04500971395561391,75.0,20.0,337.9,338.1,337.9
41,354.0,8511.0,-20.8,-62.9,1.0,0.022817316843367064,115.0,14.0,339.5,339.6,339.5
42,350.0,8596.0,-21.4,-64.2,1.0,0.01941688127201417,125.0,17.0,339.9,339.9,339.9
43,349.0,8617.0,-21.5,-64.5,1.0,0.01870488403429263,125.0,17.0,339.9,340.0,340.0
44,326.0,9115.0,-26.1,-35.1,43.0,0.5952129658111036,132.0,17.0,340.3,342.7,340.4
45,300.0,9710.0,-30.5,-43.5,27.0,0.27161307375256627,140.0,17.0,342.3,343.4,342.3
46,295.0,9828.0,-31.4,-48.1,18.0,0.16642820520797622,145.0,19.0,342.7,343.4,342.7
47,280.0,10195.0,-34.0,-62.3,4.0,0.031215930223127582,120.0,20.0,344.0,344.1,344.0
48,268.0,10502.0,-36.3,-74.3,1.0,0.006053449068872176,124.0,22.0,345.0,345.1,345.0
49,258.0,10765.0,-38.7,-75.7,1.0,0.005085992885452667,128.0,23.0,345.3,345.3,345.3
