,pres,hght,temp,dwpt,relh,mixr,drct,sknt,thta,thte,thtv
0,976.0,288.0,24.8,23.6,93.0,19.130470925464206,240.0,4.0,300.0,356.6,303.5
1,974.0,306.0,23.2,21.5,90.0,16.811375072329056,242.0,4.0,298.6,347.9,301.6
2,958.0,453.0,24.8,19.8,74.0,15.356025622406637,257.0,6.0,301.6,347.3,304.4
3,957.0,462.0,24.8,-24.2,3.0,0.5657492408462961,258.0,6.0,301.7,303.7,301.8
4,949.0,536.0,24.4,-24.6,3.0,0.5504131010993575,266.0,7.0,302.0,304.0,302.1
5,941.0,610.0,24.4,-24.6,3.0,0.5550966659101538,274.0,7.0,302.8,304.7,302.9
6,938.0,638.0,24.4,8.4,36.0,7.392702133408174,277.0,8.0,303.0,325.6,304.4
7,936.0,657.0,24.4,15.4,57.0,11.840071955362822,279.0,8.0,303.2,338.8,305.4
8,925.0,761.0,23.4,19.4,78.0,15.517243217361372,290.0,9.0,303.2,349.7,306.1
9,919.0,818.0,23.0,19.5,81.0,15.721072448454713,290.0,12.0,303.4,350.6,306.3
10,903.0,972.0,22.0,19.9,88.0,16.42008408798746,295.0,11.0,303.9,353.1,306.9
11,869.0,1304.0,19.6,18.8,95.0,15.920345059400674,305.0,10.0,304.7,352.7,307.6
12,850.0,1496.0,18.2,18.2,100.0,15.669287815169696,335.0,10.0,305.2,352.4,308.1
13,831.0,1690.0,16.6,16.6,100.0,14.458334192931286,5.0,12.0,305.5,349.1,308.1
14,812.0,1887.0,15.8,14.0,89.0,12.48166962549022,35.0,14.0,306.7,344.6,309.0
15,792.0,2099.0,15.0,11.1,77.0,10.546773271334676,40.0,20.0,308.0,340.4,310.0
16,772.0,2317.0,14.2,8.2,67.0,8.882207989899914,40.0,19.0,309.4,336.9,311.1
17,766.0,2383.0,13.9,8.1,68.0,8.891294973396546,40.0,19.0,309.8,337.3,311.4
18,700.0,3140.0,10.4,6.5,77.0,8.718554439229973,20.0,13.0,314.0,341.5,315.6
19,694.0,3212.0,10.2,6.0,75.0,8.49275645005006,24.0,13.0,314.5,341.4,316.1
20,649.0,3761.0,7.0,4.1,82.0,7.949088515326071,55.0,13.0,316.9,342.5,318.5
21,613.0,4228.0,4.2,2.6,89.0,7.565506028157507,115.0,10.0,319.0,343.4,320.4
22,594.0,4486.0,2.7,1.7,93.0,7.319351491486017,125.0,10.0,320.1,343.9,321.5
23,584.0,4625.0,1.9,1.2,96.0,7.180901488367462,125.0,6.0,320.7,344.1,322.1
24,569.0,4838.0,0.6,0.5,99.0,7.005691848279752,121.0,11.0,321.6,344.6,323.0
25,566.0,4880.0,0.5,0.0,96.0,6.790043723030322,120.0,12.0,322.0,344.4,323.3
26,548.0,5139.0,0.1,-2.8,81.0,5.700140687757711,85.0,14.0,324.5,343.4,325.6
27,535.0,5332.0,-0.2,-5.0,70.0,4.945144077727394,100.0,15.0,326.3,343.1,327.3
28,533.0,5362.0,-0.3,-5.3,69.0,4.8514665258465435,98.0,15.0,326.6,343.0,327.6
29,522.0,5528.0,-1.5,-7.1,66.0,4.3134561290029465,90.0,15.0,327.1,341.8,327.9
30,515.0,5636.0,-2.3,-8.3,63.0,3.9822640576097372,92.0,16.0,327.4,341.1,328.2
31,500.0,5870.0,-3.7,-8.7,68.0,3.975834055574159,95.0,17.0,328.5,342.2,329.3
32,473.0,6304.0,-6.6,-11.6,68.0,3.3386650694234707,120.0,22.0,330.1,341.8,330.8
33,434.0,6976.0,-11.1,-16.0,67.0,2.5383059490102684,125.0,25.0,332.6,341.6,333.1
34,431.0,7030.0,-11.5,-16.4,67.0,2.471970036485427,126.0,25.0,332.8,341.6,333.3
35,411.0,7393.0,-14.3,-17.2,79.0,2.4241404025924083,135.0,22.0,333.7,342.5,334.2
36,400.0,7600.0,-15.9,-17.6,87.0,2.4082829190277657,150.0,14.0,334.2,342.9,334.7
37,389.0,7809.0,-17.7,-17.9,98.0,2.4144731287483685,168.0,11.0,334.6,343.3,335.0
38,388.0,7829.0,-17.8,-18.0,98.0,2.400254266628261,170.0,11.0,334.7,343.4,335.2
39,380.0,7984.0,-18.5,-18.7,99.0,2.3090783668702186,155.0,15.0,335.7,344.1,336.2
40,372.0,8143.0,-19.3,-19.4,99.0,2.2215390144400975,157.0,15.0,336.7,344.9,337.2
41,357.0,8448.0,-21.3,-22.5,90.0,1.7670532987265897,162.0,16.0,338.0,344.6,338.4
42,353.0,8531.0,-21.7,-26.0,68.0,1.305448706855124,164.0,17.0,338.6,343.5,338.9
43,350.0,8593.0,-22.1,-23.1,92.0,1.7091947693272542,165.0,17.0,338.9,345.2,339.2
44,342.0,8763.0,-22.9,-27.9,64.0,1.131553549091121,167.0,17.0,340.0,344.4,340.3
45,334.0,8935.0,-24.0,-29.8,59.0,0.9700267936232715,170.0,18.0,340.8,344.6,341.0
46,325.0,9134.0,-25.3,-31.9,54.0,0.8161306314550161,160.0,16.0,341.7,344.9,341.9
47,321.0,9224.0,-25.9,-32.9,52.0,0.7501705121702221,163.0,16.0,342.1,345.1,342.2
48,312.0,9429.0,-27.6,-33.0,60.0,0.7643727872688886,170.0,16.0,342.5,345.6,342.7
49,300.0,9710.0,-29.9,-33.2,73.0,0.7796630716830921,180.0,21.0,343.1,346.2,343.3
50,296.0,9805.0,-30.7,-33.5,76.0,0.7674223428989078,180.0,22.0,343.3,346.4,343.5
51,292.0,9902.0,-31.5,-33.8,80.0,0.7554489064222654,176.0,23.0,343.5,346.5,343.7
52,286.0,10048.0,-32.5,-35.7,73.0,0.6392414286985215,170.0,26.0,344.1,346.7,344.2
53,281.0,10172.0,-33.1,-45.1,29.0,0.24378040910165208,165.0,28.0,345.0,346.0,345.1
54,272.0,10399.0,-35.2,-43.1,44.0,0.3127379420202141,155.0,31.0,345.1,346.4,345.2
55,270.0,10450.0,-35.7,-42.7,49.0,0.3288300494666552,155.0,31.0,345.2,346.6,345.2
56,261.0,10685.0,-37.3,-53.3,17.0,0.10301832960342167,155.0,33.0,346.2,346.6,346.2
57,250.0,10980.0,-39.9,-50.9,30.0,0.14258241791482684,155.0,36.0,346.6,347.2,346.6
