,pres,hght,temp,dwpt,relh,mixr,drct,sknt,thta,thte,thtv
0,977.0,288.0,24.2,21.9,87.0,17.18498271519172,80.0,10.0,299.3,349.9,302.4
1,960.0,443.0,23.8,18.9,74.0,14.468598747421556,72.0,15.0,300.4,343.2,303.1
2,959.0,453.0,23.8,-16.2,6.0,1.1272118465607892,71.0,15.0,300.5,304.3,300.7
3,957.0,471.0,23.6,-25.4,3.0,0.5078102829012294,70.0,15.0,300.5,302.3,300.6
4,952.0,517.0,23.8,-25.2,3.0,0.5197976536479875,68.0,17.0,301.1,303.0,301.2
5,942.0,609.0,24.0,-25.0,3.0,0.5348918643686287,63.0,20.0,302.3,304.1,302.4
6,940.0,628.0,24.2,14.2,54.0,10.895463337354412,62.0,20.0,302.6,335.4,304.6
7,937.0,656.0,24.1,14.7,56.0,11.296681367806828,60.0,21.0,302.9,336.8,304.9
8,925.0,770.0,23.8,16.8,65.0,13.127697989091637,55.0,20.0,303.6,343.1,306.0
9,907.0,941.0,23.1,15.7,63.0,12.468285446472017,55.0,19.0,304.6,342.1,306.9
10,892.0,1087.0,22.4,14.7,62.0,11.877463792614408,35.0,16.0,305.4,341.4,307.6
11,878.0,1224.0,21.8,13.8,60.0,11.374571442853929,55.0,13.0,306.1,340.7,308.2
12,850.0,1505.0,19.8,17.0,84.0,14.499733953772681,95.0,8.0,306.9,350.9,309.6
13,845.0,1556.0,19.4,16.9,86.0,14.493159947677565,110.0,7.0,307.0,351.1,309.7
14,835.0,1659.0,18.6,16.8,89.0,14.57581735865461,105.0,8.0,307.2,351.5,309.9
15,824.0,1771.0,17.9,16.1,89.0,14.116321513166913,100.0,9.0,307.6,350.4,310.2
16,700.0,3151.0,8.8,6.8,87.0,8.9028689438872,75.0,13.0,312.2,340.1,313.9
17,698.0,3175.0,8.6,6.7,88.0,8.866738750148338,75.0,13.0,312.2,339.9,313.9
18,693.0,3234.0,8.0,6.3,89.0,8.68564900855168,79.0,12.0,312.2,339.4,313.9
19,668.0,3538.0,7.3,2.6,72.0,6.935651816365591,100.0,8.0,314.7,336.9,316.1
20,657.0,3675.0,7.0,1.0,66.0,6.2828927489025554,100.0,7.0,315.9,336.1,317.1
21,625.0,4084.0,4.4,-3.6,56.0,4.701171557603712,100.0,5.0,317.4,332.9,318.4
22,559.0,4986.0,-0.3,-8.3,55.0,3.666964208894684,100.0,1.0,322.2,334.6,322.9
23,555.0,5043.0,-0.7,-8.3,56.0,3.693549717455272,100.0,1.0,322.4,334.9,323.1
24,505.0,5792.0,-5.7,-8.0,84.0,4.15803931109907,195.0,4.0,325.1,339.2,325.9
25,500.0,5870.0,-6.3,-9.0,81.0,3.883136928026058,205.0,4.0,325.3,338.5,326.1
26,451.0,6669.0,-10.9,-20.9,44.0,1.608442405868683,163.0,8.0,329.2,335.1,329.6
27,448.0,6720.0,-11.3,-17.3,61.0,2.2045421107428997,160.0,8.0,329.4,337.2,329.8
28,444.0,6789.0,-11.3,-23.3,36.0,1.322838991486969,157.0,8.0,330.2,335.1,330.5
29,421.0,7193.0,-13.9,-31.6,21.0,0.6482556311604748,135.0,10.0,331.9,334.4,332.0
30,408.0,7431.0,-15.5,-36.5,15.0,0.41348538041560673,150.0,10.0,332.9,334.5,332.9
31,404.0,7505.0,-15.9,-32.4,23.0,0.6254784611473223,155.0,10.0,333.3,335.7,333.4
32,400.0,7580.0,-16.3,-28.3,35.0,0.9319494122243969,150.0,10.0,333.7,337.3,333.9
33,384.0,7886.0,-18.3,-21.7,75.0,1.7623016740238735,136.0,13.0,335.0,341.5,335.4
34,382.0,7925.0,-17.9,-29.9,34.0,0.8400062187417152,134.0,13.0,336.0,339.3,336.2
35,377.0,8023.0,-18.5,-29.6,37.0,0.8755861516975566,130.0,14.0,336.5,339.9,336.7
36,365.0,8262.0,-20.0,-28.8,45.0,0.9749173981053167,140.0,13.0,337.7,341.4,337.9
37,356.0,8447.0,-21.1,-28.2,53.0,1.0571159753424197,120.0,10.0,338.6,342.6,338.8
38,348.0,8616.0,-22.1,-27.7,60.0,1.1328054381448007,75.0,11.0,339.4,343.8,339.6
39,345.0,8680.0,-22.5,-27.5,64.0,1.1640049379203858,71.0,11.0,339.7,344.2,340.0
40,334.0,8914.0,-24.3,-29.3,63.0,1.0167809394382994,55.0,11.0,340.5,344.4,340.7
41,310.0,9453.0,-28.3,-33.3,62.0,0.7471653288111185,50.0,13.0,342.1,345.1,342.3
42,300.0,9690.0,-30.1,-35.1,62.0,0.6468517356993049,75.0,15.0,342.8,345.4,343.0
43,292.0,9882.0,-31.7,-36.7,61.0,0.5663877488762051,68.0,14.0,343.2,345.5,343.3
44,288.0,9979.0,-32.5,-41.5,40.0,0.3501385511240592,65.0,13.0,343.4,344.9,343.5
45,283.0,10101.0,-33.5,-41.5,44.0,0.35632828852279097,60.0,12.0,343.8,345.2,343.8
46,267.0,10508.0,-36.7,-41.7,60.0,0.36979992612772644,75.0,15.0,344.8,346.4,344.9
47,263.0,10612.0,-37.5,-42.5,59.0,0.34486590306249,78.0,16.0,345.1,346.6,345.2
48,262.0,10639.0,-37.5,-47.5,34.0,0.20046842563962888,79.0,16.0,345.5,346.4,345.6
